name,smiles,homo,lumo,gap,mark
PBDTTPD-HT,CC1=CC(CCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CC)CCCC)S4)=C5C=C(C6=C(CCCCCC)C=C(C7=C(C(N(CCCCCCCC)C8=O)=O)C8=C(C)S7)S6)SC5=C3C9=CC=C(CC(CC)CCCC)S9)S2)S1,-0.15259156,0.148108933,0.300700493,1
PTZ1,CC1=CC(CC(CCCCCC)CC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCCCC)CCCC)S4)=C5C=C(C6=C(CC(CCCCCC)CC)C=C(C7=NC(SC(C)=N8)=C8S7)S6)SC5=C3C9=CC=C(CC(CCCCCCCC)CCCC)S9)S2)S1,-0.158643811,0.151306459,0.30995027,1
PBDT-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,-0.158711694,0.150544338,0.309256031,1
PBDTS-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,-0.158711694,0.150544338,0.309256031,1
PBDB-ST,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)SCC(CC)CCCC)=C8C=C(SC8=C6C9=CC=C(S9)SC(CCCC)CC)C,-0.160331163,0.15686464,0.317195803,1
HFQx-T,CC1=CC=C(S1)C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C7=CC=C(C8=C9C(N=C(C%10=CC(F)=C(OCC(CCCC)CC)C(F)=C%10)C(C%11=CC(F)=C(OCC(CCCC)CC)C(F)=C%11)=N9)=C(C)C(F)=C8F)S7,-0.152357265,0.135377275,0.28773454,1
PffT2-FTAZ-2DT,FC1=C(C2=NN(N=C2C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S3)C4=CC=C(C)S4)=C1F)CCC)C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S5)C6=CC=C(C)S6,-0.163376292,0.145644165,0.309020457,1
PBDTTT-E-T,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCCCC)CC)=C4C=C(C5=C(C=C(C(OCC(CCCC)CC)=O)S6)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCCCC)CC,-0.150728678,0.14633297,0.297061647,1
PTPDBDT,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCC)CC)=C4C=C(C5=C(C(N(CCCCCCCC)C6=O)=O)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCC)CC,-0.161261941,0.152156058,0.313418,1
PDCBT,CC1=C(C(OC(CCCCCC)CCCC)=O)C=C(C2=CC(C(OCC(CCCCCC)CCCC)=O)=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)S1,-0.170481577,0.163567319,0.334048896,1
PTFBDT-BZS,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C8=NSN=C78)C)=C9)=C9F)CCCC,-0.161257624,0.130011605,0.29126923,1
P1,CC(C1=NSN=C21)=CC=C2C(S3)=CC=C3C4=CC5=C(OCCCCCCCCCCCC)C(SC(C6=CC=C(S6)C)=C7)=C7C(OCCCCCCCCCCCC)=C5S4,-0.151576185,0.126289388,0.277865574,1
PSEHTT,CC1=NC(S2)=C(S1)N=C2C(S3)=C(CC(CCCCCC)CC)C=C3C4=CC([Si](CC(CCCCCC)CC)(CC(CCCCCC)CC)C5=C6SC(C7=CC(CC(CCCCCC)CC)=C(C)S7)=C5)=C6S4,-0.14951243,0.161704057,0.311216487,1
PBT1-EH,O=C1C2=C(SC(C3=CC=C(C)S3)=C2C(C4=C(SC(CC(CCCCCC)CCCC)=C41)CC(CCCCCC)CCCC)=O)C5=CC=C(S5)C6=CC7=C(S6)C(C8=CC=C(S8)SCC(CC)CCCC)=C9C=C(SC9=C7C%10=CC=C(S%10)SC(CCCC)CC)C,-0.158672643,0.15282105,0.311493693,1
PffBt4T-2OD,CCCCCCCCC(CCCCCCCCCC)CC1=C(C)SC(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C26)=C1,-0.175169566,0.115528694,0.29069826,1
PBCBT,CC1=C(C(OC(CCCCCC)CCCC)=O)C=C(C2=CC(C(OCC(CCCCCC)CCCC)=O)=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)S1,-0.170481577,0.163567319,0.334048896,1
PBDB-T1,O=C1C2=C(SC(C)=C2C(C3=C(SC(CCCCCCCC)=C31)CCCCCCCC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)CC(CC)CCCC)=C8C=C(SC8=C6C9=CC=C(S9)CC(CC)CCCC)C%10=CC=C(C)S%10,-0.15433572,0.151833338,0.306169058,1
PBDTTT-C-T,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCCCC)CC)=C4C=C(C5=C(C=C(C(C(CCCC)CC)=O)S6)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCCCC)CC,-0.151344623,0.15202183,0.303366453,1
PBDB-TF,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.161148999,0.155265334,0.316414333,1
PM6,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.161148999,0.155265334,0.316414333,1
J52-2F,CC1=CC2=C(C3=C(C(C4=CC(F)=C(S4)CC(CCCC)CC)=C2S1)C=C(S3)C5=CC=C(C6=C(C(F)=C(C7=CC=C(S7)C)C8=NN(N=C86)CC(CCCCCC)CCCCCCCC)F)S5)C9=CC(F)=C(S9)CC(CCCC)CC,-0.158872866,0.140185087,0.299057952,1
